casi_section,mimic_section
1) FEN,FEN
1) N/V,N/V
1. 1. FEN,FEN
1. CV,CHEST/CV
1. F/E/N,F/E/N
1. FEN,FEN
1. FEN/GI,FEN/GI
1. FENGI,FEN/GI
1. GI,GI/GU
1. GU,GI/GU
1. HEENT,HEENT
1. HEME,HEME
1. HISTORY,PAST MEDICAL HISTORY
1. ID,ACCESS/ID
1. IDM,
1. RESP,RESP
1. TTN,
1.) CV,CHEST/CV
"11/23 128 (3N) 301 (7N), 15 NPH",
11/25 177(30NPH/10N) 223(11N,
"110/70, 100, 98 F, RR 14",
15NPH,
2. BPD,BPD
2. CV,CHEST/CV
2. CV/RESP,RESP
2. F/E/N,F/E/N
2. FEN,FEN
2. FEN/GI,FEN/GI
"2. FLUID, ELECTROLYTES AND NUTRITION",FLUIDS/ELECTROLYTES/NUTRITION
2. GI,GI/GU
2. GU,GI/GU
2. HTN,HTN
2. ID,ACCESS/ID
2. IPV 1/13/03,VACCINATIONS
2. IPV 1/14/03,VACCINATIONS
2. IPV 2/16/03; 4/17/03,VACCINATIONS
2. PPROM,
2. RESP,RESP
2.) FEN/GI,FEN/GI
3) MAC,
3. ARF,ARF
3. ASSESSMENT AND PLAN,ASSESSMENT AND PLAN
3. CV,CHEST/CV
3. DIC,DIC
3. ENDO,ENDO
3. F/E/N,F/E/N
3. FEN,FEN
3. FEN/GI,FEN/GI
3. GI,GI/GU
3. GU,GI/GU
3. ID,ACCESS/ID
3. IPV,VACCINATIONS
3. RESP,RESP
3. THE PATIENT WILL BE A FULL CODE,
4) ESRD,ESRD
4. CV,CHEST/CV
4. F/E/N,F/E/N
4. FEN,FEN
4. GERD,GERD
4. GI,GI/GU
4. ID,ACCESS/ID
4. NEURO,
4. PULM,NEURO
"46,XX",
470. CD4,
5. CNS,CNS
5. CODE STATUS,CODE STATUS
5. F/E/N,F/E/N
5. FEN,FEN
5. GI,GI/GU
5. GYN,GYN
5. HEME,HEME
5. ID,ACCESS/ID
5. TPN,TPN
5. UTI,UTI
6. CNS,CNS
6. F/E/N,F/E/N
6. GI,GI/GU
6. GU,GI/GU
7. BP,BLOOD PRESSURE
7. CODE STATUS,CODE STATUS
7. FEN/GI,FEN/GI
7. GERD,GERD
7. IVH,INTRAVENTRICULAR HEMORRHAGE/HYPERTENSION
8. ENT,ENT
8. GENETICS,GENETICS
8. ID,ACCESS/ID
9. GERD,GERD
A,
ACADEMIC ACHIEVEMENT,PATIENT EDUCATION
ACMC,
ACTION & PLAN,PLAN
ACTION AND PLAN,PLAN
ACTION PLAN,PLAN
ACTION/PLAN,PLAN
ACTIVE ISSUES BY SYSTEM AT THE TIME OF DISCHARGE ARE AS FOLLOWS,ACTIVE ISSUES
ACTIVE PROBLEM LIST,ACTIVE PROBLEMS
ADDENDEUM,ADDENDUM
ADDENDUM 5-23-2007,ADDENDUM
ADDENDUM DISCHARGE MEDICATIONS,ADDENDUM
ADDENDUM TO DISCHARGE SUMMARY FOR 04/25/2007,ADDENDUM
ADDENDUM TO PREVIOUS DISCHARGE SUMMARY OF 09/18/2007,ADDENDUM
ADDITIONAL DISCHARGE MEDICATIONS,DISCHARGE MEDICATIONS
ADDITIONAL LABORATORY STUDIES OF NOTE,LABORATORY STUDIES
ADL STATUS,ACTIVITIES
ADMISSION EVALUATION,EVALUATION
ADMISSION HISTORY AND DATA,ADMISSION HISTORY AND PHYSICAL
ADMISSION HISTORY AND PHYSICAL EXAM,ADMISSION HISTORY AND PHYSICAL
ADMISSION HISTORY AND PHYSICAL EXAMINATION,ADMISSION HISTORY AND PHYSICAL
ADMISSION HISTORY OF PRESENT ILLNESS,HISTORY OF PRESENT ILLNESS
